2025-04-13 12:13:50,922 - Training data: 17495 rows
2025-04-13 12:13:57,396 - Training PPO on EURUSD at 2025-04-13 12:13:57.386858+05:30
2025-04-13 12:26:52,083 - Rollout 122880: ep_rew_mean = -0.0110, actions = {0: 1355, 1: 519, 2: 174}, action_pct = {0: 66.162109375, 1: 25.341796875, 2: 8.49609375}
2025-04-13 12:27:12,880 - Rollout 124928: ep_rew_mean = -0.0208, actions = {0: 1463, 1: 434, 2: 151}, action_pct = {0: 71.435546875, 1: 21.19140625, 2: 7.373046875}
2025-04-13 12:27:32,041 - Rollout 126976: ep_rew_mean = 0.0027, actions = {0: 1556, 1: 377, 2: 115}, action_pct = {0: 75.9765625, 1: 18.408203125, 2: 5.615234375}
2025-04-13 12:28:10,607 - Rollout 129024: ep_rew_mean = 0.0011, actions = {0: 1589, 1: 340, 2: 119}, action_pct = {0: 77.587890625, 1: 16.6015625, 2: 5.810546875}
2025-04-13 12:28:34,767 - Rollout 131072: ep_rew_mean = -0.0009, actions = {0: 1616, 1: 299, 2: 133}, action_pct = {0: 78.90625, 1: 14.599609375, 2: 6.494140625}
2025-04-13 12:29:05,784 - Rollout 133120: ep_rew_mean = 0.0035, actions = {0: 1713, 1: 225, 2: 110}, action_pct = {0: 83.642578125, 1: 10.986328125, 2: 5.37109375}
2025-04-13 12:29:33,034 - Rollout 135168: ep_rew_mean = -0.0005, actions = {0: 1621, 1: 292, 2: 135}, action_pct = {0: 79.150390625, 1: 14.2578125, 2: 6.591796875}
2025-04-13 12:29:56,279 - Rollout 137216: ep_rew_mean = -0.0008, actions = {0: 1649, 1: 283, 2: 116}, action_pct = {0: 80.517578125, 1: 13.818359375, 2: 5.6640625}
2025-04-13 12:30:17,152 - Rollout 139264: ep_rew_mean = 0.0028, actions = {0: 1739, 1: 211, 2: 98}, action_pct = {0: 84.912109375, 1: 10.302734375, 2: 4.78515625}
2025-04-13 12:30:32,045 - Rollout 141312: ep_rew_mean = -0.0105, actions = {0: 1741, 1: 216, 2: 91}, action_pct = {0: 85.009765625, 1: 10.546875, 2: 4.443359375}
2025-04-13 12:30:45,877 - Rollout 143360: ep_rew_mean = 0.0021, actions = {0: 1803, 1: 174, 2: 71}, action_pct = {0: 88.037109375, 1: 8.49609375, 2: 3.466796875}
2025-04-13 12:31:03,402 - Rollout 145408: ep_rew_mean = 0.0043, actions = {0: 1760, 1: 217, 2: 71}, action_pct = {0: 85.9375, 1: 10.595703125, 2: 3.466796875}
