2025-04-12 08:36:00,086 - Rollout 149504: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:36:05,848 - Rollout 151552: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:36:12,386 - Rollout 153600: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:36:18,191 - Rollout 155648: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:36:24,566 - Rollout 157696: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:36:30,919 - Rollout 159744: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:36:37,129 - Rollout 161792: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:36:43,130 - Rollout 163840: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:36:48,975 - Rollout 165888: ep_rew_mean = 0.0499, actions = {0: 2046, 1: 1, 2: 1}
2025-04-12 08:36:55,101 - Rollout 167936: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:37:01,691 - Rollout 169984: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:37:07,780 - Rollout 172032: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:37:13,842 - Rollout 174080: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:37:20,595 - Rollout 176128: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:37:26,852 - Rollout 178176: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:37:33,415 - Rollout 180224: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:37:39,796 - Rollout 182272: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:37:45,944 - Rollout 184320: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:37:52,076 - Rollout 186368: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:37:58,298 - Rollout 188416: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
